Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA,456,100,500,198,132,409,163,89,82,357,111,292,386,376,504,189,502,21,396,156,315,224,437,45,126,79,178,475,44
25/04/2005,114.0,50.0,120.0,126.0,111.0,48.0,77.0,119.0,157.0,50.0,141.0,59.0,26.0,138.0,57.0,41.0,6.0,98.0,64.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2005,98.0,66.0,81.0,86.0,48.0,40.0,59.0,131.0,111.0,51.0,97.0,64.0,27.0,83.0,42.0,29.0,2.0,42.0,39.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2005,140.0,81.0,103.0,116.0,129.0,51.0,89.0,146.0,65.0,104.0,224.0,124.0,22.0,159.0,66.0,57.0,15.0,111.0,76.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2005,120.0,46.0,86.0,94.0,135.0,25.0,93.0,123.0,99.0,96.0,97.0,83.0,52.0,153.0,42.0,36.0,28.0,56.0,44.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2005,173.0,99.0,125.0,139.0,84.0,37.0,84.0,122.0,252.0,104.0,174.0,105.0,44.0,137.0,54.0,93.0,28.0,40.0,141.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2005,,62.0,145.0,85.0,93.0,27.0,75.0,123.0,135.0,103.0,99.0,74.0,55.0,165.0,42.0,19.0,33.0,49.0,98.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2005,143.0,98.0,129.0,100.0,104.0,48.0,73.0,128.0,95.0,62.0,163.0,146.0,39.0,145.0,23.0,84.0,46.0,39.0,87.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2005,139.0,30.0,94.0,54.0,61.0,30.0,56.0,79.0,161.0,83.0,99.0,82.0,29.0,66.0,13.0,14.0,23.0,29.0,69.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2005,155.0,56.0,94.0,56.0,147.0,24.0,77.0,93.0,150.0,47.0,123.0,83.0,30.0,117.0,36.0,73.0,21.0,53.0,66.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2005,98.0,40.0,153.0,32.0,85.0,13.0,31.0,62.0,40.0,42.0,82.0,81.0,10.0,89.0,12.0,60.0,22.0,25.0,49.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2005,87.0,18.0,38.0,26.0,69.0,32.0,33.0,66.0,106.0,40.0,84.0,72.0,10.0,91.0,11.0,86.0,12.0,54.0,51.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2005,110.0,15.0,67.0,13.0,36.0,20.0,24.0,41.0,49.0,18.0,58.0,43.0,12.0,31.0,11.0,35.0,8.0,18.0,39.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2005,70.0,12.0,11.0,12.0,29.0,8.0,13.0,35.0,28.0,25.0,25.0,33.0,7.0,25.0,6.0,8.0,11.0,29.0,24.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2005,43.0,12.0,7.0,10.0,17.0,6.0,13.0,16.0,18.0,12.0,26.0,20.0,2.0,23.0,11.0,18.0,8.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2005,37.0,4.0,21.0,1.0,6.0,6.0,9.0,9.0,18.0,5.0,18.0,17.0,2.0,19.0,5.0,11.0,4.0,6.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2005,30.0,4.0,6.0,8.0,1.0,6.0,1.0,1.0,5.0,5.0,9.0,4.0,5.0,20.0,5.0,7.0,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2005,21.0,1.0,1.0,1.0,4.0,3.0,2.0,12.0,8.0,5.0,2.0,4.0,2.0,7.0,2.0,6.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2005,22.0,0.0,0.0,6.0,5.0,0.0,4.0,8.0,3.0,5.0,6.0,3.0,0.0,22.0,4.0,1.0,2.0,24.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2005,15.0,1.0,2.0,1.0,2.0,3.0,1.0,7.0,6.0,2.0,5.0,5.0,0.0,13.0,2.0,4.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2005,11.0,3.0,9.0,2.0,19.0,3.0,1.0,6.0,1.0,2.0,4.0,1.0,3.0,9.0,2.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2005,7.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,5.0,5.0,7.0,4.0,6.0,8.0,3.0,3.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/2005,12.0,3.0,6.0,5.0,19.0,3.0,0.0,1.0,5.0,1.0,5.0,4.0,4.0,18.0,3.0,6.0,6.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2005,5.0,2.0,3.0,1.0,28.0,1.0,4.0,2.0,3.0,3.0,9.0,7.0,0.0,15.0,6.0,6.0,5.0,4.0,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2005,17.0,4.0,6.0,10.0,34.0,1.0,10.0,1.0,21.0,7.0,8.0,21.0,4.0,27.0,6.0,3.0,1.0,17.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2005,11.0,3.0,5.0,7.0,60.0,0.0,16.0,5.0,5.0,7.0,12.0,9.0,8.0,51.0,5.0,12.0,3.0,16.0,25.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/2005,27.0,8.0,15.0,7.0,46.0,8.0,25.0,6.0,32.0,27.0,30.0,22.0,15.0,79.0,1.0,14.0,5.0,35.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/2005,23.0,9.0,26.0,19.0,60.0,18.0,25.0,8.0,36.0,11.0,20.0,43.0,15.0,77.0,17.0,6.0,10.0,42.0,50.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/2005,30.0,15.0,33.0,4.0,12.0,12.0,30.0,18.0,20.0,21.0,15.0,48.0,13.0,70.0,9.0,7.0,7.0,70.0,13.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2005,,12.0,35.0,11.0,100.0,19.0,13.0,20.0,25.0,23.0,23.0,51.0,26.0,67.0,17.0,33.0,25.0,41.0,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2005,,21.0,58.0,5.0,51.0,9.0,18.0,19.0,14.0,20.0,37.0,52.0,10.0,48.0,10.0,24.0,16.0,35.0,14.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2005,32.0,9.0,36.0,14.0,45.0,24.0,15.0,27.0,12.0,21.0,25.0,17.0,21.0,31.0,5.0,19.0,22.0,48.0,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2005,49.0,13.0,65.0,13.0,81.0,16.0,28.0,27.0,27.0,33.0,37.0,49.0,39.0,81.0,20.0,24.0,10.0,54.0,42.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2005,67.0,28.0,40.0,4.0,40.0,28.0,22.0,34.0,27.0,15.0,45.0,50.0,17.0,44.0,38.0,28.0,32.0,70.0,72.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2005,106.0,32.0,77.0,6.0,91.0,37.0,30.0,38.0,11.0,25.0,51.0,31.0,28.0,133.0,23.0,38.0,35.0,89.0,97.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/2005,83.0,24.0,44.0,17.0,75.0,9.0,17.0,25.0,36.0,35.0,49.0,37.0,7.0,85.0,51.0,18.0,77.0,66.0,80.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2005,114.0,33.0,21.0,8.0,50.0,3.0,18.0,35.0,55.0,25.0,78.0,20.0,44.0,163.0,29.0,28.0,57.0,56.0,84.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2006,129.0,42.0,60.0,20.0,89.0,48.0,36.0,47.0,58.0,32.0,45.0,72.0,51.0,173.0,79.0,35.0,71.0,79.0,109.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2006,189.0,56.0,46.0,15.0,92.0,100.0,27.0,31.0,51.0,28.0,65.0,55.0,48.0,102.0,49.0,30.0,53.0,72.0,110.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2006,79.0,8.0,29.0,7.0,50.0,26.0,27.0,28.0,39.0,13.0,30.0,39.0,23.0,114.0,61.0,19.0,37.0,59.0,111.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2006,163.0,34.0,41.0,15.0,103.0,44.0,15.0,22.0,64.0,33.0,64.0,46.0,53.0,121.0,99.0,24.0,53.0,76.0,120.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2006,110.0,35.0,31.0,9.0,68.0,48.0,29.0,35.0,43.0,19.0,30.0,24.0,39.0,105.0,97.0,41.0,51.0,55.0,136.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2006,158.0,23.0,42.0,23.0,119.0,40.0,15.0,42.0,81.0,21.0,57.0,38.0,33.0,104.0,82.0,40.0,48.0,56.0,157.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2006,182.0,25.0,70.0,16.0,108.0,121.0,22.0,59.0,40.0,10.0,47.0,28.0,23.0,119.0,145.0,54.0,93.0,53.0,155.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/2006,136.0,50.0,48.0,38.0,119.0,102.0,42.0,60.0,69.0,34.0,81.0,23.0,24.0,170.0,120.0,21.0,66.0,75.0,221.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/2006,207.0,51.0,52.0,16.0,112.0,85.0,44.0,82.0,95.0,19.0,74.0,53.0,45.0,140.0,120.0,64.0,55.0,82.0,180.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2006,251.0,58.0,53.0,32.0,89.0,118.0,38.0,78.0,44.0,24.0,74.0,29.0,39.0,181.0,123.0,58.0,66.0,102.0,161.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2006,141.0,62.0,59.0,40.0,61.0,85.0,42.0,33.0,50.0,30.0,102.0,34.0,47.0,149.0,101.0,38.0,47.0,71.0,221.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2006,193.0,78.0,109.0,35.0,82.0,91.0,44.0,87.0,48.0,50.0,137.0,34.0,52.0,160.0,70.0,31.0,96.0,110.0,210.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2006,169.0,48.0,69.0,26.0,68.0,131.0,58.0,49.0,56.0,12.0,82.0,36.0,49.0,161.0,47.0,8.0,85.0,81.0,230.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2006,141.0,66.0,97.0,41.0,68.0,91.0,56.0,59.0,35.0,18.0,80.0,61.0,53.0,168.0,155.0,81.0,73.0,40.0,130.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2006,193.0,30.0,55.0,41.0,62.0,152.0,64.0,52.0,35.0,28.0,104.0,45.0,37.0,153.0,43.0,81.0,86.0,34.0,192.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2006,359.0,57.0,75.0,75.0,23.0,108.0,29.0,71.0,18.0,16.0,113.0,59.0,40.0,157.0,46.0,71.0,58.0,53.0,97.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2006,268.0,139.0,97.0,44.0,97.0,165.0,103.0,76.0,34.0,23.0,104.0,54.0,37.0,221.0,81.0,95.0,82.0,71.0,190.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2006,168.0,56.0,86.0,52.0,44.0,107.0,26.0,65.0,25.0,37.0,108.0,44.0,32.0,165.0,22.0,67.0,58.0,24.0,79.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2006,338.0,68.0,59.0,31.0,44.0,82.0,57.0,68.0,32.0,25.0,89.0,30.0,50.0,121.0,42.0,83.0,85.0,21.0,133.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2006,186.0,38.0,49.0,39.0,49.0,68.0,39.0,54.0,37.0,30.0,45.0,70.0,22.0,126.0,28.0,73.0,62.0,42.0,62.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2006,266.0,72.0,34.0,14.0,22.0,149.0,66.0,69.0,34.0,22.0,120.0,38.0,58.0,143.0,22.0,48.0,92.0,24.0,136.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2006,240.0,78.0,118.0,106.0,59.0,109.0,26.0,51.0,25.0,34.0,82.0,87.0,31.0,151.0,35.0,63.0,58.0,36.0,54.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2006,162.0,60.0,55.0,23.0,15.0,118.0,30.0,85.0,44.0,28.0,34.0,25.0,30.0,105.0,14.0,30.0,51.0,18.0,58.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2006,264.0,60.0,80.0,47.0,15.0,99.0,47.0,70.0,61.0,44.0,68.0,88.0,57.0,145.0,28.0,45.0,25.0,35.0,47.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2006,133.0,51.0,65.0,23.0,65.0,51.0,32.0,66.0,54.0,26.0,64.0,51.0,50.0,134.0,19.0,41.0,118.0,34.0,39.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2006,201.0,63.0,56.0,43.0,8.0,26.0,39.0,63.0,30.0,43.0,52.0,46.0,27.0,130.0,28.0,55.0,84.0,24.0,35.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2006,236.0,70.0,25.0,5.0,50.0,27.0,22.0,118.0,72.0,19.0,23.0,41.0,14.0,89.0,19.0,37.0,26.0,24.0,34.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2006,,21.0,25.0,6.0,28.0,32.0,8.0,24.0,17.0,11.0,24.0,15.0,5.0,49.0,7.0,17.0,11.0,9.0,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2006,76.0,54.0,16.0,12.0,17.0,3.0,6.0,29.0,22.0,6.0,2.0,8.0,7.0,24.0,9.0,17.0,23.0,13.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/2006,52.0,19.0,7.0,4.0,8.0,16.0,2.0,23.0,4.0,6.0,3.0,1.0,4.0,29.0,3.0,12.0,9.0,5.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2006,,5.0,3.0,4.0,4.0,11.0,0.0,12.0,14.0,2.0,8.0,7.0,5.0,15.0,4.0,3.0,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2006,30.0,16.0,1.0,4.0,6.0,9.0,4.0,4.0,13.0,3.0,6.0,12.0,3.0,4.0,6.0,2.0,5.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2006,74.0,1.0,4.0,4.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,6.0,1.0,9.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2006,45.0,5.0,0.0,8.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2006,41.0,1.0,0.0,2.0,2.0,6.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,17.0,2.0,2.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2006,20.0,5.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2006,15.0,3.0,1.0,5.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,6.0,2.0,4.0,1.0,5.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2006,,7.0,0.0,1.0,3.0,3.0,6.0,3.0,3.0,2.0,7.0,4.0,2.0,7.0,1.0,6.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2006,10.0,3.0,4.0,5.0,12.0,1.0,2.0,7.0,8.0,9.0,10.0,8.0,9.0,12.0,6.0,10.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2006,9.0,6.0,3.0,11.0,11.0,9.0,6.0,5.0,7.0,2.0,12.0,3.0,12.0,8.0,3.0,7.0,2.0,0.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2006,35.0,1.0,2.0,3.0,16.0,4.0,0.0,9.0,16.0,11.0,15.0,13.0,19.0,29.0,6.0,6.0,5.0,7.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2006,20.0,4.0,9.0,6.0,24.0,11.0,7.0,7.0,16.0,13.0,27.0,4.0,4.0,29.0,8.0,24.0,2.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2006,19.0,3.0,10.0,7.0,16.0,19.0,25.0,8.0,31.0,7.0,17.0,5.0,17.0,23.0,4.0,13.0,0.0,4.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2006,51.0,9.0,18.0,8.0,6.0,7.0,20.0,11.0,46.0,25.0,33.0,9.0,7.0,46.0,5.0,14.0,1.0,5.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2006,53.0,16.0,19.0,21.0,39.0,20.0,37.0,9.0,22.0,28.0,53.0,11.0,15.0,47.0,7.0,42.0,1.0,4.0,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2006,77.0,15.0,39.0,18.0,33.0,17.0,24.0,12.0,42.0,36.0,44.0,4.0,18.0,71.0,38.0,14.0,4.0,9.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2006,62.0,24.0,14.0,20.0,39.0,18.0,50.0,13.0,16.0,56.0,41.0,7.0,62.0,94.0,15.0,7.0,8.0,29.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2006,93.0,17.0,26.0,25.0,10.0,7.0,61.0,31.0,57.0,54.0,55.0,14.0,41.0,127.0,55.0,46.0,10.0,12.0,19.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/12/2006,,24.0,28.0,24.0,37.0,39.0,101.0,31.0,33.0,50.0,59.0,6.0,59.0,99.0,49.0,21.0,7.0,23.0,29.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2006,82.0,52.0,10.0,34.0,22.0,31.0,79.0,35.0,44.0,68.0,42.0,22.0,8.0,103.0,51.0,16.0,11.0,30.0,32.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/12/2006,84.0,53.0,44.0,33.0,31.0,11.0,40.0,41.0,36.0,105.0,59.0,11.0,46.0,125.0,87.0,5.0,18.0,9.0,43.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2006,58.0,21.0,24.0,46.0,15.0,30.0,43.0,35.0,32.0,82.0,20.0,4.0,1.0,68.0,25.0,1.0,13.0,1.0,48.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2007,114.0,39.0,24.0,76.0,25.0,28.0,97.0,65.0,71.0,138.0,65.0,13.0,30.0,179.0,82.0,1.0,17.0,13.0,47.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2007,145.0,63.0,56.0,35.0,61.0,98.0,66.0,59.0,65.0,210.0,72.0,42.0,106.0,205.0,84.0,53.0,17.0,59.0,59.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2007,93.0,38.0,46.0,93.0,160.0,21.0,26.0,56.0,55.0,103.0,36.0,10.0,56.0,118.0,37.0,38.0,12.0,34.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2007,129.0,50.0,46.0,125.0,44.0,38.0,116.0,67.0,40.0,151.0,50.0,24.0,64.0,155.0,56.0,46.0,36.0,5.0,48.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2007,114.0,55.0,55.0,155.0,71.0,48.0,54.0,66.0,45.0,110.0,45.0,34.0,46.0,175.0,66.0,61.0,14.0,21.0,73.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2007,86.0,49.0,39.0,75.0,125.0,22.0,36.0,58.0,63.0,126.0,78.0,34.0,36.0,135.0,65.0,125.0,37.0,15.0,118.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2007,127.0,58.0,73.0,114.0,52.0,26.0,36.0,74.0,26.0,116.0,126.0,28.0,60.0,86.0,60.0,33.0,29.0,36.0,64.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/2007,,62.0,37.0,117.0,144.0,89.0,90.0,87.0,85.0,147.0,81.0,29.0,96.0,224.0,71.0,57.0,39.0,56.0,122.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/02/2007,211.0,79.0,40.0,87.0,96.0,40.0,49.0,71.0,50.0,150.0,93.0,59.0,38.0,211.0,63.0,37.0,23.0,60.0,59.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2007,229.0,53.0,77.0,86.0,107.0,67.0,93.0,116.0,39.0,173.0,111.0,48.0,112.0,214.0,49.0,46.0,36.0,36.0,85.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2007,145.0,65.0,22.0,64.0,110.0,25.0,31.0,63.0,56.0,74.0,56.0,25.0,47.0,136.0,22.0,26.0,28.0,7.0,92.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2007,210.0,109.0,89.0,140.0,72.0,105.0,88.0,128.0,66.0,184.0,109.0,35.0,108.0,279.0,55.0,74.0,6.0,55.0,101.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2007,267.0,90.0,61.0,163.0,96.0,89.0,85.0,107.0,94.0,111.0,80.0,90.0,77.0,255.0,54.0,37.0,38.0,59.0,76.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
